Product ID,Product Name,Category 1,Category 2,Category 3,Category 4,Category 5,Discounted Price,Orignal Price,Discount,User Rating,Number Of Rating
B07L9FW9GF,"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optic",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,149,249,0.4,4,5057
B08D64C9FN,Ant Esports GM320 RGB Optical Wired Gaming Mouse | 8 Programm,Computers&Accessories,Accessories&Peripherals,PCGamingPeripherals,GamingMice,,575,"2,799",0.79,4.2,8537
B07XJYYH7L,Wecool Nylon Braided Multifunction Fast Charging Cable For An,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,333,999,0.67,3.3,9792
B00LOD70SC,Pilot V7 Liquid Ink Roller Ball Pen (2 Blue + 1 Black),OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",178,210,0.15,4.3,2450
B09X76VL5L,boAt Airdopes 191G True Wireless Earbuds with ENx™ Tech Equ,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,,"1,599","3,490",0.54,3.7,676
B091JF2TFD,Boult Audio BassBuds Oak in-Ear Wired Earphones with 10mm Ext,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,,499,"1,299",0.62,3.9,1173
B07S7DCJKS,IT2M Designer Mouse Pad for Laptop/Computer (9.2 X 7.6 Inches,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MiceAccessories,MousePads,199,499,0.6,4.3,9998
B09NC2TY11,Noise ColorFit Ultra Buzz Bluetooth Calling Smart Watch with ,Electronics,WearableTechnology,SmartWatches,,,"2,499","5,999",0.58,4.1,5852
B0BDS8MY8J,"Lapster Caddy for ssd and HDD, Optical Bay 2nd Hard Drive Cad",Computers&Accessories,Components,InternalHardDrives,,,199,999,0.8,4.2,362
B09X7DY7Q4,SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and ,Electronics,Accessories,MemoryCards,MicroSD,,939,"1,800",0.48,4.5,205052
B09YV575RK,"Fire-Boltt Ring Pro Bluetooth Calling, 1.75” 320*385px High",Electronics,WearableTechnology,SmartWatches,,,"2,499","9,999",0.75,4,9090
B08LW31NQ6,"Lenovo 600 Bluetooth 5.0 Silent Mouse: Compact, Portable, Don",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,"1,439","2,890",0.5,4.5,4099
B09ND94ZRG,Boult Audio Airbass Propods X TWS Bluetooth Truly Wireless in,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,,"1,099","5,999",0.82,3.5,12966
B00P93X6EK,"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Unrul",OfficeProducts,OfficePaperProducts,Paper,Stationery,"Notebooks,WritingPads&Diaries",157,160,0.02,4.5,4428
B07KRCW6LZ,TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5,Computers&Accessories,NetworkingDevices,NetworkAdapters,WirelessUSBAdapters,,999,"1,599",0.38,4.3,12093
B0994GP1CX,"LS LAPSTER Quality Assured Universal Silicone 15.6"" Keyboard ",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MiceAccessories,DustCovers,115,999,0.88,3.3,5692
B07H8W9PB6,KLAM LCD Writing Tablet Screenwriting Toys Board Smart Digita,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",GraphicTablets,,175,499,0.65,4.1,21
B09NNHFSSF,CP PLUS 2MP Full HD Smart Wi-fi CCTV Security Camera | 360° ,Electronics,Cameras&Photography,SecurityCameras,DomeCameras,,"1,999","4,700",0.57,3.8,1880
